"Pclass","Sex","Embarked","Survived","Title","pp","Total_group_size_FE","IsChild_FE","Have_relatives"
"3","male","S","0","Mr",7.25,2,"0","1"
"1","female","C","1","Mrs",35.64165,2,"0","1"
"3","female","S","1","Miss",7.925,1,"0","0"
"1","female","S","1","Mrs",26.55,2,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","Q","0","Mr",8.4583,1,"0","0"
"1","male","S","0","Mr",25.93125,2,"0","0"
"3","male","S","0","Master",4.215,5,"1","1"
"3","female","S","1","Mrs",3.7111,3,"0","1"
"2","female","C","1","Mrs",15.0354,2,"1","1"
"3","female","S","1","Miss",5.56666666666667,3,"1","1"
"1","female","S","1","Miss",26.55,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",4.46785714285714,7,"0","1"
"3","female","S","0","Miss",7.8542,1,"1","0"
"2","female","S","1","Mrs",16,1,"0","0"
"3","male","Q","0","Master",4.85416666666667,6,"1","1"
"2","male","S","1","Mr",13,1,"0","0"
"3","female","S","0","Mrs",9,2,"0","1"
"3","female","C","1","Mrs",7.225,1,"0","0"
"2","male","S","0","Mr",13,2,"0","0"
"2","male","S","1","Mr",13,1,"0","0"
"3","female","Q","1","Miss",8.0292,1,"0","0"
"1","male","S","1","Mr",35.5,1,"0","0"
"3","female","S","0","Miss",4.215,5,"1","1"
"3","female","S","1","Mrs",4.48392857142857,7,"0","1"
"3","male","C","0","Mr",7.225,1,"0","0"
"1","male","S","0","Mr",43.8333333333333,6,"0","1"
"3","female","Q","1","Miss",7.8792,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","C","0","Other",27.7208,1,"0","0"
"1","female","C","1","Mrs",48.8402666666667,3,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"2","male","S","0","Mr",10.5,1,"0","0"
"1","male","C","0","Mr",41.0854,2,"0","1"
"1","male","S","0","Mr",26,2,"0","1"
"3","male","C","1","Mr",7.2292,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",9,3,"0","1"
"3","female","C","1","Miss",5.62085,2,"1","1"
"3","female","S","0","Mrs",9.475,2,"0","1"
"2","female","S","0","Mrs",10.5,2,"0","1"
"3","male","C","0","Mr",7.8958,1,"0","0"
"2","female","C","1","Miss",10.3948,4,"1","1"
"3","female","Q","1","Miss",7.8792,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","Q","0","Mr",7.75,2,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"3","male","C","0","Mr",7.2264,3,"0","1"
"3","female","S","0","Mrs",8.9,2,"0","1"
"3","male","S","0","Master",5.66964285714286,7,"1","1"
"3","male","S","0","Mr",7.8,1,"0","0"
"1","female","C","1","Mrs",25.5764,3,"0","1"
"2","female","S","1","Mrs",13,2,"0","1"
"1","male","C","0","Mr",30.9896,2,"0","1"
"1","male","S","1","Mr",35.5,1,"0","0"
"2","female","S","1","Miss",10.5,1,"0","0"
"3","male","C","0","Mr",7.2292,1,"0","0"
"2","female","S","1","Miss",6.9375,4,"1","1"
"3","male","S","0","Master",5.8625,8,"1","1"
"3","male","C","0","Mr",7.2292,1,"0","0"
"1","female","C","1","Miss",40,2,"0","0"
"1","male","S","0","Mr",41.7375,2,"0","1"
"3","male","S","0","Master",4.65,6,"1","1"
"1","male","C","0","Mr",27.7208,1,"0","0"
"3","male","C","1","Master",5.08193333333333,3,"1","1"
"2","female","S","1","Mrs",10.5,1,"0","0"
"3","male","S","0","Mr",8.1583,1,"0","0"
"3","female","S","1","Miss",7.925,7,"0","1"
"3","male","S","0","Mr",8.6625,3,"0","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","female","S","0","Miss",5.8625,8,"0","1"
"2","male","S","0","Mr",10.5,7,"0","0"
"3","male","C","0","Mr",7.2271,2,"0","1"
"3","male","S","1","Mr",7.061975,8,"0","0"
"3","male","S","0","Mr",7.65,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"2","male","S","1","Master",9.66666666666667,3,"1","1"
"3","female","S","1","Miss",6.2375,2,"0","0"
"3","male","S","0","Mr",9,1,"0","0"
"3","male","S","1","Mr",9.5,1,"0","0"
"3","female","Q","1","Miss",7.7875,1,"0","0"
"1","male","S","0","Mr",23.55,2,"0","0"
"2","female","S","1","Miss",10.5,1,"0","0"
"3","female","S","1","Mrs",7.925,4,"0","1"
"3","male","S","0","Mr",6.875,5,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","female","S","1","Miss",43.8333333333333,6,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",7.8542,1,"0","0"
"1","male","S","0","Mr",30.5875,2,"0","1"
"3","male","S","0","Mr",5.14375,4,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","male","C","0","Mr",34.6542,1,"0","0"
"1","male","C","1","Mr",31.67915,2,"0","1"
"2","female","S","1","Mrs",11.5,2,"0","1"
"2","male","S","0","Mr",13,2,"0","1"
"3","female","S","0","Miss",7.8958,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","0","Mr",38.64375,2,"0","1"
"3","male","S","0","Mr",8.6542,1,"0","0"
"3","male","S","0","Mr",7.925,3,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","S","1","Miss",7.65,1,"0","0"
"3","male","S","1","Mr",7.775,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","Q","1","Miss",8.05,3,"0","1"
"1","male","S","0","Mr",26,2,"0","0"
"3","female","C","0","Miss",7.2271,2,"1","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",9.825,2,"0","1"
"3","female","C","0","Miss",7.22915,2,"0","0"
"3","male","S","0","Mr",7.925,1,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
"2","male","S","0","Mr",10.5,2,"0","1"
"1","male","C","0","Mr",82.5069333333333,3,"0","1"
"3","female","S","0","Miss",4.46785714285714,7,"1","1"
"2","male","S","0","Mr",10.5,7,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
